"","a1","a1a1","a2","a2a2","a3","a3a3","a4a4","a5a5","a6a6","a7a7","a8a8","a9a9","b1b1","b2","b3","b4","b5","b5a1","b5b2","b5b5","cluster"
"119",11,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,13,0,0,9,15
"1190",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1192",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7
"1194",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1195",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1196",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1198",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1199",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"12",7,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,18,0,0,0,3
"120",0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,0,0,0,4
"1200",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1201",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1202",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1203",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1205",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1206",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1208",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1209",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"121",6,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,11,0,0,0,3
"1211",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1212",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1213",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1214",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7
"1216",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1217",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1218",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1219",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"122",10,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,6,0,0,13,2
"1220",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1221",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7
"1222",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,21
"1223",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1224",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1225",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1227",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1228",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1229",0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"123",6,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,8,0,6,9,13
"1230",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1231",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1232",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1233",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1234",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1236",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1237",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1238",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1239",0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"124",9,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,13,0,6,7,13
"1240",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1241",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1242",0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"1245",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1246",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8
"1247",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1248",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1249",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"125",7,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,10,0,0,6,15
"1250",0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1251",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1252",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1253",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1255",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1256",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1257",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1258",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7
"1259",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"126",10,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,14,0,7,5,13
"1261",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1263",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1264",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"1265",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1266",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1267",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1269",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"127",6,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,23,0,6,11,1
"1270",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1271",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7
"1272",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1273",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1274",0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1275",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
"1276",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9
