"","r","s","cluster"
"496",10,91,1
"497",9,75,1
"498",11,72,1
"499",10,82,1
"5",10,75,1
"50",7,73,1
"500",10,73,1
"501",5,84,1
"502",10,82,1
"503",14,86,1
"504",5,85,1
"505",17,69,1
"506",11,70,1
"507",16,87,1
"508",12,75,1
"509",12,82,1
"51",13,72,1
"510",16,58,1
"511",9,94,1
"512",18,72,1
"513",5,68,1
"514",8,84,1
"515",7,77,1
"516",9,58,1
"517",8,59,1
"518",8,89,1
"519",11,64,1
"52",11,75,1
"520",7,56,1
"521",9,70,1
"522",6,90,1
"523",9,78,1
"524",11,86,1
"525",8,103,1
"526",8,62,1
"527",11,69,1
"528",7,83,1
"529",16,75,1
"53",12,74,1
"530",5,78,1
"531",10,60,1
"532",13,84,1
"533",12,68,1
"534",11,50,1
"535",14,50,1
"536",4,91,1
"537",12,107,1
"538",16,66,1
"539",10,65,1
"54",15,44,1
"540",9,67,1
"541",10,78,1
"542",5,89,1
"543",10,84,1
"544",6,89,1
"545",13,72,1
"546",13,83,1
"547",11,82,1
"548",14,88,1
"549",10,62,1
"55",11,57,1
"550",4,60,1
"551",11,77,1
"552",7,54,1
"553",9,70,1
"554",8,76,1
"555",8,105,1
"556",4,74,1
"557",6,51,1
"558",12,73,1
"559",11,67,1
"56",7,69,1
"560",4,89,1
"561",11,74,1
"562",8,108,1
"563",8,80,1
"564",9,88,1
"565",11,91,1
"566",7,83,1
"567",13,70,1
"568",11,63,1
"569",11,55,1
"57",10,71,1
"570",9,90,1
"571",5,79,1
"572",10,68,1
"573",5,82,1
"574",12,70,1
"575",13,96,1
"576",5,90,1
"577",10,70,1
"578",12,59,1
"579",10,79,1
"58",15,68,1
"580",10,71,1
"581",8,84,1
"582",12,71,1
"583",15,98,1
"584",7,91,1
"585",8,79,1
"586",5,75,1
"587",10,84,1
"588",12,103,1
"589",4,68,1
"59",12,71,1
"590",9,92,1
"591",11,70,1
"592",8,58,1
"593",10,91,1
"594",12,79,1
"595",10,58,1
"596",9,74,1
"597",13,106,1
"598",7,72,1
"599",8,90,1
"6",8,69,1
"60",7,80,1
"600",13,85,1
"601",14,67,1
"602",13,94,1
"603",5,69,1
"604",8,86,1
"605",9,80,1
"606",9,77,1
"607",7,78,1
"608",7,88,1
"609",9,88,1
"61",11,53,1
"610",9,69,1
"611",8,85,1
"612",10,65,1
"613",9,72,1
"614",14,78,1
"615",10,87,1
"616",11,87,1
"617",10,83,1
"618",9,69,1
"619",12,51,1
"62",8,48,1
"620",10,81,1
"621",15,95,1
"622",9,65,1
"623",5,94,1
"624",4,89,1
"625",11,56,1
"626",7,71,1
"627",13,76,1
"628",7,106,1
"629",9,92,1
"63",15,71,1
"630",5,71,1
"631",11,75,1
"632",11,71,1
"633",7,78,1
"634",8,64,1
"635",7,73,1
"636",5,85,1
"637",10,88,1
"638",11,68,1
"639",6,70,1
"64",10,68,1
"640",8,56,1
"641",8,83,1
"642",11,88,1
"643",8,78,1
"644",9,118,1
"645",10,69,1
"646",8,53,1
"647",13,59,1
"648",8,67,1
"649",13,109,1
"65",13,53,1
"650",1,85,1
"651",9,43,1
"652",10,60,1
"653",14,89,1
"654",8,77,1
"655",9,51,1
"656",14,76,1
"657",7,78,1
"658",10,64,1
"659",9,69,1
"66",8,72,1
"660",9,75,1
"661",2,65,1
"662",13,64,1
"663",9,59,1
"664",5,72,1
"665",9,91,1
"666",8,79,1
"667",9,100,1
"668",7,87,1
"669",14,89,1
"67",17,58,1
"670",10,63,1
"671",17,79,1
"672",6,82,1
"673",9,94,1
"674",9,60,1
"675",9,64,1
"676",10,68,1
"677",5,70,1
"678",7,80,1
"679",10,52,1
"68",13,80,1
"680",9,75,1
"681",8,50,1
"682",9,82,1
"683",9,103,1
"684",9,54,1
"685",6,92,1
"686",9,49,1
"687",5,73,1
"688",13,74,1
"689",10,46,1
"69",3,60,1
"690",8,74,1
"691",6,70,1
"692",11,56,1
"693",8,73,1
"694",11,77,1
"695",6,77,1
"696",7,47,1
"697",4,79,1
"698",9,73,1
"699",9,65,1
"7",12,98,1
"70",7,59,1
"700",8,67,1
"701",10,80,1
"702",10,72,1
"703",6,72,1
"704",7,66,1
"705",15,83,1
"706",15,95,1
"707",10,81,1
"708",9,71,1
"709",11,59,1
"71",7,76,1
"710",9,81,1
"711",7,58,1
"712",12,68,1
"713",5,63,1
"714",12,67,1
"715",7,80,1
"716",14,72,1
"717",9,73,1
"718",6,68,1
"719",9,75,1
"72",8,83,1
"720",9,93,1
"721",6,59,1
"722",8,55,1
"723",10,94,1
"724",18,91,1
"725",20,75,1
"726",15,101,1
"727",10,84,1
"728",10,82,1
"729",8,95,1
"73",1,91,1
"730",12,47,1
"731",11,90,1
"732",17,60,1
"733",5,75,1
"734",8,74,1
"735",10,63,1
"736",7,73,1
"737",6,71,1
"738",5,81,1
"739",13,81,1
"74",10,39,1
"740",10,74,1
"741",12,84,1
"742",11,56,1
"743",8,70,1
"744",8,97,1
"745",8,66,1
"746",9,82,1
"747",4,64,1
"748",11,73,1
"749",13,76,1
"75",13,88,1
"750",6,74,1
"751",11,68,1
"752",10,83,1
"753",8,62,1
"754",8,58,1
"755",8,82,1
"756",5,100,1
"757",13,81,1
"758",8,67,1
"759",13,96,1
"76",8,82,1
"760",15,84,1
"761",12,62,1
"762",13,98,1
"763",15,90,1
"764",15,52,1
"765",5,61,1
"766",12,66,1
"767",8,95,1
"768",8,79,1
"769",9,70,1
"77",10,71,1
"770",7,75,1
"771",7,84,1
"772",16,98,1
"773",13,68,1
"774",10,60,1
"775",7,83,1
"776",10,79,1
"777",4,81,1
"778",6,77,1
"779",7,62,1
"78",6,74,1
"780",6,58,1
"781",8,86,1
"782",14,75,1
"783",6,69,1
"784",8,54,1
"785",8,99,1
"786",9,77,1
"787",7,91,1
"788",7,94,1
"789",9,73,1
"79",15,59,1
"790",14,69,1
"791",11,70,1
"792",14,85,1
"793",8,55,1
"794",14,75,1
"795",11,65,1
"796",10,80,1
"797",9,75,1
"798",10,44,1
"799",9,76,1
"8",9,71,1
"80",7,77,1
"800",10,73,1
"801",16,65,1
"802",8,75,1
"803",13,84,1
"804",6,54,1
"805",11,65,1
"806",7,73,1
"807",8,76,1
"808",10,61,1
"809",12,73,1
"81",6,63,1
"810",4,73,1
"811",7,62,1
"812",8,93,1
"813",5,65,1
"814",8,55,1
"815",7,74,1
"816",8,64,1
"817",9,56,1
"818",7,74,1
"819",12,68,1
"82",9,79,1
"820",6,84,1
"821",7,53,1
"822",11,87,1
"823",11,66,1
"824",12,103,1
"825",11,74,1
"826",9,66,1
"827",8,70,1
"828",11,74,1
"829",7,54,1
"83",10,49,1
"830",9,78,1
"831",11,92,1
"832",10,79,1
"833",10,99,1
"834",11,111,1
"835",6,80,1
"836",10,65,1
"837",8,83,1
"838",9,86,1
"839",11,107,1
"84",9,75,1
"840",8,80,1
"841",3,70,1
"842",11,35,1
"843",13,94,1
"844",8,100,1
"845",13,62,1
"846",5,62,1
"847",13,96,1
"848",8,78,1
"849",12,103,1
"85",15,66,1
"850",13,54,1
"851",8,70,1
"852",9,72,1
"853",10,98,1
"854",7,77,1
"855",7,94,1
"856",11,83,1
"857",11,89,1
"858",10,74,1
"859",7,85,1
"86",9,79,1
"860",12,70,1
"861",8,85,1
"862",10,59,1
"863",10,79,1
"864",5,67,1
"865",6,81,1
"866",7,62,1
"867",13,105,1
"868",8,103,1
"869",9,78,1
"87",12,61,1
"870",7,72,1
"871",6,66,1
"872",9,74,1
"873",18,111,1
"874",11,84,1
"875",12,74,1
"876",9,87,1
"877",11,63,1
"878",11,74,1
"879",14,93,1
"88",5,72,1
"880",6,39,1
"881",5,66,1
"882",11,88,1
"883",8,57,1
"884",10,87,1
"885",10,89,1
"886",10,88,1
"887",7,85,1
"888",8,65,1
"889",5,70,1
"89",8,72,1
"890",13,76,1
"891",7,95,1
"892",8,76,1
"893",4,72,1
"894",8,81,1
"895",6,89,1
"896",9,47,1
"897",12,82,1
"898",5,86,1
"899",8,59,1
"9",5,74,1
"90",11,75,1
"900",14,90,1
"901",12,97,1
"902",11,71,1
"903",8,74,1
"904",5,93,1
"905",7,58,1
"906",10,82,1
"907",13,102,1
"908",7,62,1
"909",9,78,1
"91",7,62,1
"910",10,92,1
"911",7,53,1
"912",11,76,1
"913",13,75,1
"914",10,63,1
"915",4,63,1
"916",8,82,1
"917",4,71,1
"918",9,50,1
"919",11,77,1
"92",10,88,1
"920",9,64,1
"921",5,77,1
"922",6,89,1
"923",10,76,1
"924",6,74,1
"925",8,74,1
"926",11,68,1
"927",17,101,1
"928",12,79,1
"929",12,74,1
"93",4,68,1
"930",11,48,1
"931",6,79,1
"932",9,65,1
"933",9,90,1
"934",10,88,1
"935",13,77,1
"936",12,92,1
"937",16,94,1
"938",9,86,1
"939",8,58,1
"94",13,74,1
"940",6,73,1
"941",10,65,1
"942",11,93,1
"943",7,64,1
"944",10,69,1
"945",11,61,1
"946",13,62,1
"947",14,78,1
"948",10,85,1
"949",11,66,1
"95",9,77,1
"950",8,77,1
"951",8,85,1
"952",11,66,1
"953",7,81,1
"954",10,101,1
"955",10,65,1
"956",12,78,1
"957",6,64,1
"958",3,69,1
"959",10,83,1
"96",6,77,1
"960",15,63,1
"961",12,68,1
"962",12,75,1
"963",7,69,1
"964",7,78,1
"965",18,65,1
"966",6,70,1
"967",6,63,1
"968",14,68,1
"969",7,69,1
"97",3,53,1
"970",9,86,1
"971",6,69,1
"972",14,109,1
"973",6,63,1
"974",9,77,1
"975",6,68,1
"976",9,58,1
"977",4,74,1
"978",12,66,1
"979",7,69,1
"98",7,76,1
"980",6,96,1
"981",16,87,1
"982",8,64,1
"983",11,57,1
"984",15,84,1
"985",8,61,1
"986",9,59,1
"987",11,112,1
"988",10,87,1
"989",13,62,1
"99",10,83,1
"990",9,71,1
"991",6,74,1
"992",13,85,1
"993",13,77,1
"994",12,88,1
"995",10,62,1
"996",8,102,1
"997",8,56,1
"998",5,83,1
"999",13,93,1
