,a1,a1a1,a2,a2a2,a3,a3a3,a4a4,a5a5,a6a6,a7a7,a8a8,a9a9,b1b1,b2,b3,b4,b5,b5a1,b5b2,b5b5
1221,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
1222,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
1223,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1224,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1225,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1227,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1228,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,6,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,8,0,6,9
1230,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1231,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1232,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1233,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1234,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1236,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1237,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1238,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1239,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,9,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,13,0,6,7
1240,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1241,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1242,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1245,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1246,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
1247,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1248,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1249,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,7,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,10,0,0,6
1250,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1251,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1252,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1253,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1255,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1256,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1257,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
1259,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,10,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,14,0,7,5
1261,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1263,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1264,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1265,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1266,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1267,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1269,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,6,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,23,0,6,11
